iter	R2	RMSE
190	0.9970392844	1.932875266
191	0.9970593425	1.926316742
192	0.9970606227	1.925897409
193	0.9970607898	1.925842671
194	0.9971224421	1.905537578
195	0.9971430093	1.898715496
196	0.9971580395	1.893714478
197	0.9971723273	1.88894821
198	0.9971745107	1.888218768
199	0.997183356	1.885260881
200	0.9972262622	1.870846604
201	0.9972751651	1.854281132
202	0.9972972893	1.846737892
203	0.9973511614	1.828240076
204	0.9973953046	1.812942166
205	0.9974227375	1.803369852
206	0.9974316729	1.800240991
207	0.9974371418	1.798323293
208	0.99744865	1.794281186
209	0.9974619519	1.789597675
210	0.9974760085	1.784635054
211	0.9974803076	1.783114561
212	0.9975240931	1.767553768
213	0.9975274438	1.766357319
214	0.9975423369	1.761029582
215	0.9975431111	1.760752177
216	0.9975594332	1.754893758
217	0.9975710746	1.750703358
218	0.9975775097	1.748382721
219	0.9975863307	1.74519663
220	0.9975939694	1.742432868
221	0.9976097964	1.736692507
222	0.9976158794	1.734481161
223	0.9976165069	1.734252911
224	0.9976233273	1.731769827
225	0.9976349287	1.727537958
226	0.9976459024	1.723525504
227	0.9976597181	1.718460541
228	0.9976605731	1.718146597
229	0.9976610874	1.717957726
230	0.9976644107	1.716736803
231	0.9976718323	1.714007066
232	0.9976763864	1.71232988
233	0.997681467	1.710456823
234	0.9976920712	1.706540814
235	0.9976955599	1.705250506
236	0.9977052504	1.701661328
237	0.9977096269	1.70003789
238	0.9977148934	1.698082206
239	0.9977250375	1.694308929
240	0.9977310206	1.692079454
241	0.9977313202	1.691967746
242	0.9977391911	1.689030159
243	0.997744551	1.687026824
244	0.9977455932	1.686636979
245	0.9977515229	1.684417362
246	0.9977629177	1.680143808
247	0.9977701943	1.677409086
248	0.9977793751	1.673952324
249	0.9977864463	1.671284973
250	0.9977982981	1.66680477
251	0.9978041664	1.664581982
252	0.9978065804	1.663666768
253	0.9978090505	1.662729725
254	0.9978287802	1.655226284
255	0.9978537674	1.645674258
256	0.9978569928	1.644437209
257	0.9978592649	1.643565225
258	0.9978650776	1.641332341
259	0.9978768361	1.636806129
260	0.9978848248	1.633723856
261	0.9978887492	1.632207608
262	0.9979300108	1.616179217
263	0.9979320391	1.615387216
264	0.997935826	1.61390748
265	0.9979439932	1.610711479
266	0.9979456072	1.610079125
267	0.9979565665	1.605778832
268	0.9979677392	1.601382954
269	0.9979786484	1.59707903
270	0.9979811083	1.596106938
271	0.9979845652	1.594739866
272	0.9979899396	1.5926122
273	0.9979928527	1.591457706
274	0.9979997318	1.588728164
275	0.9980041175	1.58698551
276	0.9980060573	1.58621414
277	0.9980163219	1.582126026
278	0.9980594208	1.564844399
279	0.998064551	1.562774602
280	0.998075278	1.558437834
281	0.9980847642	1.554592623
282	0.9980869885	1.553689645
283	0.998093784	1.550927625
284	0.9981054337	1.546181186
285	0.9981400016	1.532010569
286	0.9981407245	1.531712858
287	0.9981683705	1.520282474
288	0.9981774152	1.516524234
289	0.9981860043	1.512946608
290	0.9981959572	1.508790352
291	0.9981985601	1.507701525
292	0.9982020379	1.506245434
293	0.9982069881	1.504170492
294	0.9982116081	1.502231381
295	0.9982135925	1.501397707
296	0.9982156404	1.500536873
297	0.9982239837	1.497024655
298	0.9982264309	1.495992915
299	0.9982282224	1.495237169
300	0.9982311554	1.493999023
301	0.9982324643	1.493446201
302	0.9982341054	1.492752713
303	0.99824133	1.489696026
304	0.9982426875	1.48912098
305	0.9982470528	1.487270281
306	0.9982486406	1.486596527
307	0.9982489515	1.486464569
308	0.9982510497	1.485573752
309	0.9982657517	1.479316571
310	0.9982723637	1.476493846
311	0.9982900778	1.468904816
312	0.9982974057	1.465753918
313	0.9982993071	1.464935266
314	0.9983024888	1.463564288
315	0.9983032871	1.463220086
316	0.9983052082	1.462391512
317	0.9983072424	1.461513607
318	0.9983082798	1.46106569
319	0.9983099132	1.460360186
320	0.9983123313	1.459315122
321	0.9983158552	1.457790757
322	0.9983161436	1.457665935
323	0.9983197018	1.456125027
324	0.9983250428	1.453808938
325	0.9983288156	1.452170671
326	0.9983451009	1.445077833
327	0.9983465305	1.444453538
328	0.9983481117	1.443762707
329	0.9983771763	1.431005016
330	0.9983842211	1.427895566
331	0.9983855461	1.427309971
332	0.9983869916	1.426670869
333	0.9983939629	1.423584561
334	0.998395032	1.423110638
335	0.9983966384	1.422398269
336	0.9983990659	1.421321119
337	0.9984001411	1.420843737
338	0.9984033358	1.419424431
339	0.9984370818	1.404344327
340	0.9984423634	1.401969445
341	0.9984442139	1.401136416
342	0.9984473055	1.399743575
343	0.9984598964	1.394056738
344	0.9984617059	1.393237535
345	0.9984925721	1.379188899
346	0.9984946834	1.378222718
347	0.9985064377	1.372831228
348	0.9985093006	1.371514883
349	0.9985104995	1.370963222
350	0.998513213	1.36971386
351	0.9985146676	1.369043701
352	0.9985172126	1.367870293
353	0.9985178121	1.367593776
354	0.9985202149	1.366484816
355	0.9985222175	1.365559871
356	0.998526211	1.36371347
357	0.9985355865	1.359368925
358	0.9985408465	1.356925397
359	0.9985418559	1.35645595
360	0.9985449772	1.355003374
361	0.9985466482	1.35422507
362	0.998548099	1.353548974
363	0.9985545279	1.350548991
364	0.9985569276	1.349427458
365	0.9985579717	1.348939187
366	0.9985617194	1.347185154
367	0.998563275	1.346456448
368	0.9985641061	1.346066908
369	0.9985656745	1.345331568
370	0.9985670253	1.344697939
371	0.9985695184	1.343527669
372	0.9985754443	1.340741962
373	0.9985806528	1.338288664
374	0.9985821587	1.337578539
375	0.998585068	1.336205507
376	0.9985868667	1.335355944
377	0.9985897017	1.334015784
378	0.9986138623	1.322539536
379	0.9986167564	1.321158172
380	0.9986188016	1.320181106
381	0.9986197451	1.319730112
382	0.9986223852	1.318467347
383	0.998622728	1.318303304
384	0.9986253021	1.317070785
385	0.9986313927	1.314149888
386	0.9986430108	1.308560105
387	0.9986439033	1.308129693
388	0.9986463059	1.306970366
389	0.9986470378	1.306617027
390	0.9986754306	1.292834204
391	0.9986763199	1.292400169
392	0.9986852692	1.288023811
393	0.9986876224	1.286870606
394	0.9986907659	1.285328494
395	0.9986921317	1.284657891
396	0.9986932537	1.284106734
397	0.998709289	1.276203674
398	0.9987105924	1.275559114
399	0.9987118534	1.274935233
400	0.9987130779	1.274329106
401	0.9987142891	1.273729287
402	0.9987181027	1.271838871
403	0.998718906	1.271440315
404	0.9987197921	1.271000533
405	0.9987222709	1.269769463
406	0.9987225256	1.269642885
407	0.9987236839	1.269067166
408	0.9987326297	1.264611819
409	0.9987335979	1.264128701
410	0.9987342822	1.263787096
411	0.9987354501	1.263203935
412	0.9987364855	1.262686669
413	0.9987387186	1.261570366
414	0.9987393158	1.261271661
415	0.9987416157	1.260120627
416	0.9987682515	1.246713026
417	0.998770281	1.245685547
418	0.998771451	1.245092803
419	0.9987720436	1.244792475
420	0.9987804525	1.240523068
421	0.998782239	1.239614121
422	0.9987847271	1.238347101
423	0.9987854388	1.237984413
424	0.9987874876	1.236939812
425	0.9987876658	1.236848918
426	0.9988091738	1.225828358
427	0.9988114542	1.224654109
428	0.9988128207	1.223949866
429	0.9988139319	1.223376971
430	0.9988166219	1.221988833
431	0.998817818	1.22137115
432	0.9988197513	1.220372035
433	0.9988230435	1.218668762
434	0.9988260051	1.217134515
435	0.9988274129	1.216404529
436	0.9988299412	1.21509245
437	0.9988301024	1.215008738
438	0.9988332494	1.213373479
439	0.9988356113	1.212144716
440	0.9988374065	1.211209937
441	0.9988401881	1.209760107
442	0.9988418661	1.208884663
443	0.9988448479	1.207327399
444	0.9988471635	1.206116745
445	0.9988494171	1.20493725
446	0.9988517184	1.203731675
447	0.9988560374	1.201465749
448	0.9988576328	1.200627679
449	0.9988596984	1.199541692
450	0.9988613246	1.198686043
451	0.998862773	1.19792343
452	0.9988649699	1.196765806
453	0.9988665831	1.195915033
454	0.9988695905	1.194327352
455	0.9988715271	1.193303882
456	0.9988730129	1.192518027
457	0.9988731588	1.192440829
458	0.9988752854	1.191315105
459	0.9988781828	1.189779611
460	0.9988798557	1.18889215
461	0.9988806269	1.18848284
462	0.9988825107	1.187482341
463	0.9988833996	1.187009976
464	0.9988859584	1.185649143
